,sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight
1975,M,0.69,0.55,0.18,1.6915,0.6655,0.402,0.5
1976,M,0.695,0.545,0.185,1.5715,0.6645,0.3835,0.4505
1977,F,0.7,0.575,0.205,1.7730000000000001,0.605,0.447,0.5379999999999999
1978,M,0.7,0.55,0.175,1.4405,0.6565,0.2985,0.375
1979,M,0.7,0.55,0.195,1.6245,0.675,0.34700000000000003,0.535
1980,F,0.705,0.535,0.22,1.8659999999999999,0.929,0.3835,0.4395
1981,F,0.72,0.575,0.18,1.6705,0.732,0.3605,0.501
1982,M,0.72,0.565,0.19,2.081,1.0815,0.4305,0.503
1983,F,0.725,0.57,0.205,1.6195,0.7440000000000001,0.315,0.488
1984,F,0.75,0.55,0.195,1.8325,0.83,0.366,0.44
1985,M,0.76,0.605,0.215,2.173,0.8009999999999999,0.4915,0.6459999999999999
1986,I,0.135,0.13,0.04,0.028999999999999998,0.0125,0.0065,0.008
1987,I,0.16,0.11,0.025,0.0195,0.0075,0.005,0.006
1988,I,0.21,0.15,0.055,0.0465,0.017,0.012,0.015
1989,I,0.28,0.21,0.075,0.1195,0.053,0.0265,0.03
1990,I,0.28,0.2,0.065,0.0895,0.036000000000000004,0.0185,0.03
1991,I,0.285,0.215,0.06,0.0935,0.031,0.023,0.03
1992,I,0.29,0.21,0.07,0.1115,0.048,0.0205,0.03
1993,I,0.29,0.21,0.06,0.1195,0.055999999999999994,0.0235,0.03
1994,I,0.29,0.21,0.065,0.09699999999999999,0.0375,0.022000000000000002,0.03
1995,I,0.32,0.24,0.07,0.133,0.0585,0.0255,0.040999999999999995
1996,I,0.325,0.25,0.07,0.1745,0.0875,0.0355,0.04
1997,I,0.335,0.25,0.08,0.1695,0.0695,0.044000000000000004,0.0495
1998,I,0.35,0.235,0.08,0.17,0.0725,0.0465,0.0495
1999,I,0.35,0.25,0.07,0.1605,0.0715,0.0335,0.046
2000,I,0.355,0.27,0.105,0.271,0.1425,0.0525,0.0735
2001,I,0.36,0.27,0.085,0.2185,0.1065,0.038,0.062
2002,I,0.36,0.27,0.085,0.196,0.0905,0.034,0.053
2003,I,0.375,0.28,0.08,0.226,0.105,0.047,0.065
2004,I,0.375,0.275,0.085,0.22,0.109,0.05,0.0605
2005,I,0.395,0.29,0.095,0.3,0.158,0.068,0.078
2006,I,0.405,0.25,0.09,0.2875,0.128,0.063,0.0805
2007,I,0.415,0.325,0.11,0.316,0.1385,0.0795,0.0925
2008,I,0.425,0.315,0.095,0.3675,0.1865,0.0675,0.0985
2009,I,0.43,0.32,0.11,0.3675,0.1675,0.102,0.105
2010,I,0.435,0.325,0.12,0.34600000000000003,0.159,0.084,0.095
2011,M,0.45,0.33,0.105,0.4955,0.2575,0.08199999999999999,0.129
2012,I,0.46,0.35,0.11,0.4675,0.2125,0.099,0.1375
2013,M,0.47,0.365,0.135,0.522,0.2395,0.1525,0.145
2014,I,0.47,0.375,0.105,0.441,0.16699999999999998,0.0865,0.145
2015,,0.475,0.365,0.12,0.5185,0.268,0.1095,0.1365
2016,M,0.505,0.39,0.12,0.653,0.3315,0.1385,0.16699999999999998
2017,M,0.505,0.395,0.135,0.5915,0.28800000000000003,0.1315,0.185
2018,M,0.505,0.385,0.115,0.4825,0.21,0.1035,0.1535
2019,I,0.51,0.455,0.135,0.6855,0.2875,0.154,0.2035
2020,M,0.515,0.4,0.14,0.6335,0.28800000000000003,0.145,0.168
2021,M,0.525,0.41,0.13,0.6875,0.3435,0.1495,0.1765
2022,F,0.53,0.43,0.15,0.741,0.325,0.1855,0.196
2023,F,0.53,0.405,0.13,0.6355,0.2635,0.1565,0.185
2024,M,0.545,,0.14,0.8395,0.35600000000000004,0.1905,0.2385
2025,F,0.55,0.47,0.15,0.9205,0.381,0.2435,0.2675
2026,F,0.56,0.41,0.16,0.8215,0.342,0.184,0.253
2027,M,0.565,0.445,0.145,0.9255,0.4345,0.212,0.2475
2028,F,0.57,0.435,0.15,0.8295,0.3875,0.156,0.245
2029,M,0.58,0.46,0.16,1.063,0.513,0.2705,0.2625
2030,M,0.59,0.465,0.165,1.115,0.5165,0.273,0.275
2031,F,0.6,0.45,0.14,0.8370000000000001,0.37,0.177,0.2425
2032,M,0.605,0.445,0.14,0.982,0.4295,0.2085,0.295
2033,M,0.61,0.49,0.16,1.112,0.465,0.228,0.341
2034,F,0.625,0.515,0.18,1.3485,0.5255,0.252,0.3925
2035,M,0.66,0.515,0.195,1.5655,0.7345,0.353,0.386
2036,I,0.255,0.19,0.06,0.086,0.04,0.0185,0.025
2037,I,0.27,0.195,0.065,0.1065,0.0475,0.0225,0.0285
2038,I,0.28,0.215,0.08,0.132,0.07200000000000001,0.022000000000000002,0.033
2039,I,0.285,0.215,0.07,0.1075,0.051,0.0225,0.027000000000000003
2040,I,0.32,0.255,0.085,0.1745,0.07200000000000001,0.033,0.057
2041,I,0.325,0.24,0.07,0.152,0.0565,0.0305,0.054000000000000006
2042,I,0.385,0.28,0.1,0.2755,0.1305,0.061,0.0725
2043,I,0.395,0.295,0.1,0.293,0.14,0.062,0.08199999999999999
2044,F,0.4,0.305,0.16,0.368,0.17300000000000001,0.0705,0.105
2045,I,0.405,0.31,0.09,0.312,0.138,0.06,0.087
2046,I,0.415,0.305,0.12,0.336,0.165,0.076,0.0805
2047,I,0.42,0.315,0.115,0.355,0.1895,0.065,0.087
2048,I,0.44,0.305,0.115,0.379,0.162,0.091,0.11
2049,I,0.445,0.32,0.12,0.37799999999999995,0.152,0.0825,0.12
2050,M,0.45,0.35,0.13,0.4655,0.2075,0.1045,0.135
2051,F,0.455,0.355,1.13,0.594,0.332,0.11599999999999999,0.1335
2052,M,0.46,0.345,0.12,0.4935,0.2435,0.1175,0.132
2053,M,0.46,0.345,0.11,0.4595,0.235,0.0885,0.11599999999999999
2054,M,0.465,0.36,0.11,0.4955,0.2665,0.085,0.121
2055,I,0.465,0.355,0.09,0.4325,0.2005,0.07400000000000001,0.1275
2056,F,0.475,0.38,0.14,0.6890000000000001,0.3165,0.1315,0.1955
2057,I,0.48,0.35,0.135,0.5465,0.2735,0.0995,0.158
2058,M,0.485,0.39,0.135,0.617,0.25,0.1345,0.1635
2059,I,0.49,0.37,0.11,0.5379999999999999,0.271,0.1035,0.139
2060,M,0.5,0.39,0.135,0.7815,0.361,0.1575,0.2385
2061,F,0.5,0.38,0.14,0.6355,0.27699999999999997,0.14300000000000002,0.1785
2062,M,0.505,0.385,0.13,0.6435,0.3135,0.149,0.1515
2063,M,0.525,0.385,0.1,0.5115,0.24600000000000002,0.1005,0.1455
2064,M,0.535,0.42,0.125,0.738,0.355,0.1895,0.1795
2065,F,0.535,0.42,0.13,0.6990000000000001,0.3125,0.1565,0.2035
2066,F,0.54,0.385,0.14,0.7655,0.3265,0.11599999999999999,0.2365
2067,F,0.54,0.42,0.13,0.7505,0.368,0.1675,0.1845
2068,F,0.545,0.43,0.16,0.8440000000000001,0.3945,0.1855,0.231
2069,M,0.55,0.41,0.13,0.8705,0.4455,0.2115,0.213
2070,I,0.55,0.42,0.115,0.6679999999999999,0.2925,0.13699999999999998,0.209
2071,F,0.565,0.44,0.135,0.83,0.39299999999999996,0.1735,0.23800000000000002
2072,M,0.58,0.45,0.12,0.8685,0.418,0.1475,0.2605
2073,F,0.58,0.435,0.15,0.8390000000000001,0.3485,0.207,0.192
2074,F,0.585,0.485,0.15,1.079,0.4145,0.2115,0.35600000000000004
2075,M,0.595,0.465,0.15,0.919,0.4335,0.1765,0.262
2076,F,0.6,0.47,0.19,1.1345,0.49200000000000005,0.2595,0.3375
2077,F,0.61,0.43,0.14,0.909,0.43799999999999994,0.2,0.22
2078,M,0.61,0.48,0.165,1.2435,0.5575,0.2675,0.37200000000000005
2079,F,0.62,0.49,0.16,1.056,0.493,0.244,0.2725
2080,M,0.645,0.495,0.15,1.2095,0.603,0.2225,0.33899999999999997
2081,,0.65,0.5,0.14,1.238,0.6165,0.2355,0.32
2082,F,0.665,0.525,0.21,1.6440000000000001,0.818,0.3395,0.4275
2083,M,0.685,0.55,0.2,1.7725,0.813,0.387,0.49
2084,F,0.69,0.54,0.195,1.2525,0.73,0.3975,0.462
2085,F,0.705,0.57,0.185,1.761,0.747,0.3725,0.488
2086,F,0.71,0.5,0.15,1.3165,0.6835,0.2815,0.28
2087,M,0.72,0.585,0.22,1.9140000000000001,0.9155,0.44799999999999995,0.479
2088,F,0.72,0.575,0.215,2.1,0.8565,0.4825,0.602
2089,F,0.73,0.555,0.18,1.6895,0.6555,0.1965,0.4935
2090,M,0.775,0.57,0.22,2.032,0.735,0.4755,0.6585
2091,F,0.505,0.39,0.115,0.66,0.3045,0.1555,0.175
2092,M,0.53,0.425,0.13,0.7455,0.2995,0.1355,0.245
2093,F,0.505,0.385,0.115,0.616,0.243,0.1075,0.21
2094,I,0.405,0.305,0.09,0.2825,0.114,0.0575,0.095
2095,M,0.415,0.3,0.1,0.3355,0.1545,0.0685,0.095
2096,M,0.5,0.39,0.145,0.6509999999999999,0.273,0.132,0.22
2097,M,0.425,0.33,0.08,0.361,0.134,0.0825,0.125
2098,M,0.47,0.35,0.1,0.4775,0.1885,0.0885,0.175
2099,F,0.4,0.31,0.115,0.3465,0.1475,0.0695,0.115
2100,I,0.37,0.29,0.1,0.25,0.1025,0.0505,0.085
2101,M,0.5,0.38,0.155,0.66,0.2655,0.1365,0.215
2102,I,0.41,0.31,0.11,0.315,0.124,0.08199999999999999,0.095
2103,M,0.375,0.29,0.1,0.276,0.1175,0.0565,0.085
2104,F,0.49,0.385,0.125,0.5395,0.2175,0.128,0.165
2105,M,0.585,0.48,0.185,1.04,0.434,0.265,0.285
2106,M,0.595,0.455,0.155,1.041,0.41600000000000004,0.2105,0.365
2107,F,0.675,0.55,0.18,1.6885,0.562,0.3705,0.6
2108,M,0.665,0.535,0.225,2.1835,0.7535,0.391,0.885
2109,M,0.62,0.49,0.17,1.2105,0.5185,0.2555,0.335
2110,I,0.325,0.25,0.055,0.166,0.076,0.051,0.045
2111,I,0.455,0.355,0.08,0.452,0.2165,0.0995,0.125
2112,M,0.525,0.405,0.13,0.7185,0.3265,0.1975,0.175
2113,I,0.385,0.29,0.09,0.23199999999999998,0.0855,0.0495,0.08
2114,I,0.13,0.095,0.035,0.0105,0.005,0.0065,0.0035
2115,I,0.18,0.13,0.045,0.0275,0.0125,0.01,0.009000000000000001
2116,I,0.31,0.225,0.05,0.1445,0.0675,0.0385,0.045
2117,F,0.375,0.29,0.08,0.282,0.1405,0.0725,0.08
2118,F,0.48,0.38,0.12,0.608,0.2705,0.1405,0.185
2119,I,0.455,0.37,0.125,0.433,0.201,0.1265,0.145
2120,M,0.425,0.325,0.1,0.3295,0.1365,0.0725,0.11
2121,I,0.475,0.36,0.11,0.4555,0.177,0.0965,0.145
2122,F,0.435,0.35,0.12,0.4585,0.192,0.1,0.13
2123,F,0.29,0.21,0.075,0.275,0.113,0.0675,0.035
2124,M,0.385,0.295,0.095,0.335,0.147,0.094,0.09
2125,M,0.47,0.375,0.115,0.4265,0.1685,0.0755,0.15
2126,F,0.5,0.4,0.125,0.5765,0.2395,0.126,0.185
2127,I,0.4,0.31,0.1,0.127,0.106,0.071,0.085
2128,M,0.62,0.51,0.175,1.1505,0.4375,0.2265,0.4
2129,M,0.595,0.47,0.15,0.8915,0.359,0.2105,0.245
2130,M,0.585,0.455,0.14,0.97,0.462,0.185,0.295
2131,M,0.32,0.24,0.08,0.18,0.08,0.0385,0.055
2132,F,0.52,0.41,0.125,0.6985,0.2945,0.1625,0.215
2133,M,0.44,0.35,0.11,0.4585,0.2,0.0885,0.13
2134,F,0.44,0.33,0.115,0.4005,0.14300000000000002,0.113,0.12
2135,M,0.565,0.425,0.1,0.7145,0.3055,0.166,0.18
2136,F,0.56,0.425,0.125,0.932,0.361,0.213,0.335
2137,F,0.59,0.455,0.175,0.966,0.391,0.2455,0.31
2138,F,0.57,0.465,0.18,0.9995,0.405,0.27699999999999997,0.295
2139,M,0.68,0.53,0.205,1.496,0.5825,0.337,0.465
2140,F,0.45,0.36,0.125,0.5065,0.222,0.105,0.16
2141,I,0.32,0.24,0.075,0.1735,0.076,0.0355,0.05
2142,I,0.46,0.35,0.11,0.3945,0.1685,0.0865,0.125
2143,M,0.47,0.37,0.105,0.4665,0.2025,0.1015,0.155
2144,M,0.455,0.35,0.105,0.401,0.1575,0.083,0.135
2145,F,0.415,0.325,0.115,0.3455,0.1405,0.0765,0.11
2146,M,0.465,0.35,0.12,0.5205,0.2015,0.1625,0.185
2147,M,0.46,0.375,0.135,0.4935,0.18600000000000003,0.0845,0.17
2148,M,0.415,0.31,0.09,0.3245,0.1305,0.0735,0.115
2149,M,0.27,0.195,0.07,0.106,0.0465,0.018000000000000002,0.036000000000000004
2150,M,0.445,0.355,0.11,0.4415,0.1805,0.1035,0.1505
2151,F,0.745,0.585,0.19,1.966,,0.43700000000000006,0.5855
2152,F,0.4,0.3,0.115,0.3025,0.1335,0.0465,0.0935
2153,I,0.28,0.2,0.075,0.1225,0.0545,0.0115,0.035
2154,M,0.55,0.44,0.135,0.879,0.368,0.2095,0.265
2155,M,0.58,0.46,0.165,1.2275,0.473,0.1965,0.435
2156,M,0.61,0.5,0.165,1.2715,0.4915,0.185,0.49
2157,M,0.62,0.495,0.175,1.806,0.643,0.3285,0.725
2158,M,0.56,0.42,0.195,0.8085,0.3025,0.1795,0.285
2159,F,0.64,0.51,0.2,1.3905,0.61,0.3315,0.41
2160,M,0.69,0.55,0.2,1.8465,0.732,0.47200000000000003,0.57
2161,F,0.715,0.565,0.24,2.1995,0.7245,0.465,0.885
2162,F,0.71,0.565,0.195,1.817,0.785,0.49200000000000005,0.49
2163,F,0.55,0.47,0.15,0.897,0.377,0.184,0.29
2164,M,0.375,0.305,0.09,0.3245,0.1395,0.0565,0.095
2165,F,0.61,0.45,0.16,1.136,0.414,0.311,0.3
2166,I,0.38,0.28,0.085,0.2735,0.115,0.061,0.085
2167,F,0.37,0.275,0.085,0.2405,0.10400000000000001,0.0535,0.07
2168,M,0.335,0.235,0.085,0.1545,0.066,0.0345,0.045
2169,I,0.165,0.115,0.015,0.0145,0.0055,0.003,0.005
2170,M,0.285,0.21,0.075,0.1185,0.055,0.0285,0.04
2171,I,0.19,0.13,0.03,0.0295,0.0155,0.015,0.01
2172,I,0.215,0.15,0.03,0.0385,0.0115,0.005,0.01
2173,M,0.595,0.465,0.125,0.799,0.3245,0.2,0.23
2174,F,0.645,0.5,0.17,1.1845,0.4805,0.27399999999999997,0.355
2175,M,0.575,0.45,0.185,0.925,0.342,0.19699999999999998,0.35
2176,F,0.57,0.45,0.17,1.0979999999999999,0.414,0.187,0.405
2177,F,0.58,0.45,0.235,1.071,0.3,0.20600000000000002,0.395
2178,F,0.595,0.48,0.2,0.975,0.358,0.2035,0.34
2179,F,0.595,0.47,0.25,1.2830000000000001,0.462,0.2475,0.445
2180,F,0.625,0.42,0.165,1.0595,0.358,0.165,0.445
2181,M,0.535,0.42,0.165,0.9195,0.3355,0.1985,0.26
2182,M,0.55,0.43,0.16,0.9295,0.317,0.1735,0.355
2183,M,0.495,0.4,0.155,0.8085,0.2345,0.1155,0.35
2184,I,0.32,0.235,0.08,0.1485,0.064,0.031,0.045
2185,M,0.445,0.34,0.12,0.4475,0.193,0.1035,0.13
2186,F,0.52,0.4,0.125,0.6865,0.295,0.1715,0.185
2187,M,0.495,0.385,0.135,0.6335,0.2,0.1225,0.26
2188,M,0.47,0.37,0.135,0.547,0.222,0.1325,0.17
2189,F,0.49,0.37,0.14,0.585,0.243,0.115,0.195
2190,M,0.58,0.47,0.165,0.927,0.3215,0.1985,0.315
2191,M,0.645,0.495,0.185,1.4935,0.5265,0.2785,0.455
2192,F,0.575,0.485,0.165,1.0405,0.419,0.264,0.3
2193,I,0.215,0.17,0.055,0.0605,0.0205,0.013999999999999999,0.02
2194,I,0.43,0.325,0.11,0.3675,0.1355,0.0935,0.12
2195,I,0.26,0.215,0.08,0.099,0.037000000000000005,0.0255,0.045
2196,I,0.37,0.28,0.09,0.233,0.0905,0.0545,0.07
2197,I,0.405,0.305,0.105,0.3625,0.1565,0.0705,0.125
2198,I,0.27,0.19,0.08,0.081,0.0265,0.0195,0.03
2199,F,0.68,0.55,0.2,1.5959999999999999,0.525,0.4075,0.585
2200,F,0.65,0.515,0.195,1.4005,0.5195,0.36,0.44
2201,F,0.645,0.49,0.215,1.406,0.4265,0.2285,0.51
2202,M,0.57,0.405,0.16,0.9245,0.3445,0.2185,0.295
2203,M,0.615,0.48,0.19,1.36,0.5305,0.2375,0.47
2204,M,0.42,0.345,0.105,0.43,0.175,0.096,0.13
2205,I,0.275,0.22,0.08,0.1365,0.0565,0.0285,0.042
2206,F,0.29,0.225,0.075,0.14,0.0515,0.0235,0.04
2207,M,0.42,0.34,0.115,0.4215,0.175,0.09300000000000001,0.135
2208,F,0.625,0.525,0.215,1.5765,0.5115,0.2595,0.665
2209,,0.55,0.465,0.18,1.2125,0.3245,0.205,0.525
2210,M,0.66,0.505,0.2,1.6305,0.4865,0.297,0.61
2211,M,0.565,0.47,0.195,1.1420000000000001,0.387,0.258,0.35
2212,F,0.595,0.495,0.235,1.3659999999999999,0.5065,0.21899999999999997,0.52
2213,M,0.63,0.51,0.23,1.5390000000000001,0.5635,0.2815,0.57
2214,F,0.43,0.325,0.12,0.445,0.165,0.0995,0.155
2215,F,0.455,0.35,0.14,0.5725,0.1965,0.1325,0.175
2216,I,0.33,0.26,0.08,0.19,0.0765,0.0385,0.065
2217,F,0.515,0.415,0.13,0.764,0.276,0.196,0.25
2218,M,0.495,0.39,0.15,0.853,0.3285,0.18899999999999997,0.27
2219,F,0.485,0.375,0.145,0.5885,0.2385,0.1155,0.19
2220,F,0.535,0.46,0.145,0.7875,0.3395,0.2005,0.2
2221,M,0.58,0.465,0.175,1.035,0.401,0.1865,0.385
2222,F,0.625,0.525,0.195,1.3519999999999999,0.4505,0.2445,0.53
2223,F,0.555,0.455,0.18,0.958,0.29600000000000004,0.195,0.39
2224,F,0.55,0.425,0.145,0.797,0.297,0.15,0.265
2225,M,0.59,0.475,0.155,0.857,0.35600000000000004,0.174,0.28
2226,I,0.355,0.28,0.11,0.2235,0.0815,0.0525,0.08
2227,I,0.275,0.2,0.075,0.086,0.0305,0.019,0.03
2228,F,0.505,0.39,0.175,0.6920000000000001,0.267,0.15,0.215
2229,M,0.37,0.28,0.095,0.2225,0.0805,0.051,0.075
2230,M,0.555,0.43,0.165,0.7575,0.2735,0.1635,0.275
2231,F,0.505,0.4,0.165,0.7290000000000001,0.2675,0.155,0.25
2232,F,0.56,0.445,0.18,0.903,0.3575,0.2045,0.295
2233,M,0.595,0.475,0.17,1.0965,0.419,0.22899999999999998,0.35
2234,F,0.57,0.45,0.165,0.903,0.3305,0.1845,0.295
2235,M,0.6,0.48,0.175,1.229,0.4125,0.2735,0.415
2236,F,0.56,0.435,0.185,1.1059999999999999,0.42200000000000004,0.2435,0.33
2237,M,0.585,0.465,0.19,1.171,0.3905,0.2355,0.4
2238,I,0.46,0.335,0.11,0.444,0.225,0.0745,0.11
2239,F,0.46,0.36,0.115,0.4755,0.2105,0.105,0.16
2240,M,0.415,0.315,0.125,0.38799999999999996,0.068,0.09,0.125
2241,F,0.435,0.32,,0.3785,0.152,0.0915,0.125
2242,F,0.475,0.38,0.135,0.486,0.1735,0.07,0.185
2243,M,0.465,0.36,0.13,0.5265,0.2105,0.1185,0.165
2244,I,0.355,0.28,0.1,0.2275,0.0935,0.0455,0.085
2245,M,0.46,0.375,0.14,0.5105,0.192,0.1045,0.205
2246,F,0.38,0.325,0.11,0.3105,0.12,0.07400000000000001,0.105
2247,F,0.47,0.365,0.12,0.5429999999999999,0.2295,0.1495,0.15
2248,M,0.36,0.27,0.09,0.2225,0.083,0.053,0.075
2249,F,0.585,0.455,0.165,0.998,0.345,0.2495,0.315
2250,M,0.655,0.59,0.2,1.5455,0.654,0.3765,0.415
2251,M,0.6,0.485,0.175,1.2675,0.4995,0.2815,0.38
2252,F,0.57,0.46,0.17,1.1,0.4125,0.2205,0.38
2253,F,0.645,0.5,0.2,1.4285,0.639,0.305,0.36
2254,M,0.65,0.495,0.18,1.7930000000000001,0.8005,0.33899999999999997,0.53
2255,M,0.51,0.395,0.145,0.6185,0.21600000000000003,0.1385,0.24
2256,M,0.52,0.38,0.135,0.5825,0.2505,0.1565,0.175
2257,M,0.495,0.415,0.165,0.7485,0.264,0.134,0.285
2258,M,0.43,0.335,0.115,0.406,0.166,0.0935,0.135
2259,F,0.59,0.465,0.16,1.1005,0.506,0.2525,0.295
2260,M,0.55,0.46,0.175,0.8690000000000001,0.3155,0.1825,0.32
2261,M,0.585,0.43,0.16,0.955,0.3625,0.17600000000000002,0.27
2262,F,0.58,0.455,0.16,0.9215,0.312,0.196,0.3
2263,F,0.62,0.51,0.15,1.456,0.581,0.2875,0.32
2264,I,0.59,0.45,0.16,0.893,0.2745,0.2185,0.345
2265,F,0.72,0.575,0.215,2.226,0.8955,0.405,0.62
2266,F,0.635,0.51,0.175,1.2125,0.5735,0.261,0.36
2267,F,0.61,0.48,0.175,1.0675,0.391,0.21600000000000003,0.42
2268,F,0.545,0.445,0.175,0.8525,0.3465,0.18899999999999997,0.295
2269,M,0.57,0.45,0.16,0.8615,0.3725,0.2175,0.255
2270,F,0.6,0.475,0.18,1.162,0.511,0.2675,0.32
2271,F,0.52,0.41,0.17,0.8705,0.3735,0.21899999999999997,0.25
2272,M,0.635,0.51,0.21,1.598,0.6535,0.2835,0.58
2273,F,0.67,0.52,0.15,1.406,0.519,0.348,0.37
2274,M,0.695,0.57,0.2,2.033,0.7509999999999999,0.4255,0.685
2275,M,0.655,0.525,0.185,1.2590000000000001,0.48700000000000004,0.2215,0.445
2276,F,0.62,0.48,0.23,1.0935,0.40299999999999997,0.245,0.355
2277,F,0.6,0.475,0.18,1.1805,0.4345,0.2475,0.425
2278,M,0.51,0.405,0.13,0.7175,0.3725,0.158,0.17
2279,M,0.525,0.405,0.135,0.7575,0.3305,0.21600000000000003,0.195
2280,M,0.44,0.375,0.13,0.48700000000000004,0.226,0.0965,0.155
2281,I,0.485,0.415,0.14,0.5705,0.25,0.134,0.185
2282,F,0.495,0.385,0.13,0.6905,0.3125,0.179,0.175
2283,I,0.435,0.345,0.12,0.4475,0.221,0.11199999999999999,0.125
2284,I,0.405,0.315,0.105,0.34700000000000003,0.1605,0.0785,0.1
2285,I,0.42,0.33,0.1,0.35200000000000004,0.1635,0.08900000000000001,0.1
2286,F,0.5,0.395,0.15,0.7145,0.3235,0.17300000000000001,0.195
2287,F,0.385,0.305,0.105,0.3315,0.1365,0.0745,0.1
2288,I,0.33,0.265,0.09,0.18,0.068,0.036000000000000004,0.06
2289,F,0.58,0.475,0.155,0.9740000000000001,0.4305,0.23,0.285
2290,I,0.325,0.27,0.1,0.185,0.08,0.0435,0.065
2291,M,0.475,0.375,0.12,0.563,0.2525,0.1205,0.185
2292,F,0.38,0.3,0.09,0.3215,0.1545,0.075,0.095
2293,I,0.34,0.26,0.09,0.179,0.076,0.0525,0.055
2294,M,0.525,0.425,0.12,0.7020000000000001,0.3335,0.1465,0.22
2295,F,0.52,0.415,0.145,0.8045,0.3325,0.1725,0.285
2296,F,0.535,0.45,0.135,0.8075,0.322,0.18100000000000002,0.25
2297,M,0.475,0.36,0.12,0.578,0.2825,0.12,0.17
2298,I,0.415,0.325,0.1,0.385,0.16699999999999998,0.08,0.125
2299,I,0.495,0.385,0.125,0.585,0.2755,0.1235,0.165
2300,F,0.48,0.405,0.13,0.6375,0.27699999999999997,0.1445,0.21
2301,F,0.52,0.425,0.15,0.813,0.385,0.2015,0.23
2302,M,0.46,0.375,0.13,0.5735,0.2505,0.11900000000000001,0.195
2303,F,0.58,0.455,0.12,0.94,0.39899999999999997,0.257,0.265
2304,M,0.59,0.49,0.135,1.008,0.42200000000000004,0.2245,0.285
2305,F,0.55,0.415,0.135,0.775,0.302,0.179,0.26
2306,F,0.65,0.5,0.165,1.1445,0.485,0.218,0.365
2307,F,0.465,0.375,0.135,0.6,0.2225,0.129,0.23
2308,M,0.455,0.355,0.13,0.515,0.2,0.1275,0.175
2309,M,0.47,0.375,0.13,0.5795,0.2145,0.16399999999999998,0.195
2310,F,0.435,0.35,0.11,0.384,0.14300000000000002,0.1005,0.125
2311,M,0.35,0.265,0.11,0.2965,0.1365,0.063,0.085
2312,I,0.315,0.24,0.07,0.13699999999999998,0.0545,0.0315,0.04
2313,M,0.595,0.47,0.145,0.991,0.4035,0.1505,0.34
2314,F,0.58,0.475,0.135,0.925,0.391,0.165,0.275
2315,M,0.575,0.435,0.15,0.805,0.293,0.1625,0.27
2316,M,0.535,0.435,0.155,0.8915,0.3415,0.177,0.25
2317,M,0.515,0.42,0.14,0.769,0.2505,0.154,0.29
2318,F,0.505,0.385,0.135,0.6185,0.251,0.1175,0.2
2319,F,0.505,0.395,0.145,0.6515,0.2695,0.153,0.205
2320,I,0.4,0.31,0.1,0.2875,0.1145,0.0635,0.095
2321,M,0.49,0.395,0.135,0.5545,0.213,0.0925,0.215
2322,M,0.53,,0.135,0.7365,0.3275,0.1315,0.22
2323,I,0.395,0.325,0.105,0.306,0.111,0.0735,0.095
2324,F,0.665,0.535,0.19,1.496,0.5775,0.2815,0.475
2325,F,0.415,0.305,0.105,0.3605,0.12,0.08199999999999999,0.1
2326,M,0.43,0.345,0.115,0.3045,0.0925,0.055,0.12
2327,M,0.475,0.395,0.135,0.5920000000000001,0.2465,0.1645,0.2
2328,F,0.525,0.425,0.145,0.7995,0.3345,0.209,0.24
2329,I,0.48,0.39,0.145,0.5825,0.2315,0.121,0.255
2330,I,0.42,0.345,0.115,0.3435,0.1515,0.0795,0.115
2331,M,0.59,0.46,0.155,0.9059999999999999,0.327,0.1485,0.335
2332,F,0.515,0.42,0.135,0.6295,0.2815,0.127,0.215
2333,M,0.695,0.55,0.22,1.5515,0.5660000000000001,0.3835,0.445
2334,F,0.8,0.63,0.195,2.526,0.9329999999999999,0.59,0.62
2335,M,0.61,0.49,0.15,1.103,0.425,0.2025,0.36
2336,F,0.565,0.48,0.175,0.9570000000000001,0.3885,0.215,0.275
2337,M,0.56,0.455,0.165,0.86,0.4015,0.1695,0.245
2338,M,0.655,0.485,0.195,1.62,0.6275,0.358,0.485
2339,M,0.64,0.52,0.2,1.4069999999999998,0.5660000000000001,0.304,0.455
2340,F,0.59,0.47,0.17,0.9,0.355,0.1905,0.25
2341,I,0.31,0.24,0.09,0.1455,0.0605,0.0315,0.045
2342,I,0.255,0.185,0.07,0.075,0.027999999999999997,0.018000000000000002,0.025
2343,I,0.17,0.125,0.055,0.0235,0.009000000000000001,0.0055,0.008
2344,M,0.67,0.55,0.17,1.247,0.47200000000000003,0.2455,0.4
2345,F,0.71,0.565,0.195,1.7265,0.638,0.3365,0.565
2346,F,0.56,0.43,0.125,0.8025,0.313,0.1715,0.263
2347,M,0.505,0.4,0.13,0.764,0.3035,0.18899999999999997,0.2175
2348,M,0.525,0.43,0.165,0.8645,0.376,0.1945,0.2515
2349,F,0.45,0.36,0.105,0.4715,0.2035,0.0935,0.149
2350,F,0.515,0.435,0.17,0.631,0.2765,0.111,0.21600000000000003
2351,M,0.59,0.475,0.16,0.9455,0.3815,0.184,0.27
2352,M,0.7,0.53,0.19,1.3185,0.5479999999999999,0.233,0.42
2353,F,0.72,0.56,0.175,1.7265,0.637,0.3415,0.525
2354,M,0.635,0.495,0.15,1.081,0.4825,0.242,0.31
2355,M,0.555,0.44,0.135,0.9025,0.3805,0.2105,0.28
2356,M,0.575,0.47,0.15,1.1415,0.4515,0.204,0.4
